legacy_node_id,node_id,pubchem_id,status
compound::(+)-3-Carene,compound::443156,443156,unique
compound::(+)-Camphene,compound::92221,92221,unique
compound::(+)-Dihydrocarveol,compound::89755,89755,unique
compound::(+)-Isomenthone,compound::70962,70962,unique
compound::(+)-Linalool,compound::67179,67179,unique
compound::(+)-Neomenthol,compound::439263,439263,unique
compound::(+)-Pulegone,compound::442495,442495,unique
compound::(+)-alpha-Terpineol,compound::442501,442501,unique
compound::(+)-alpha-phellandrene,compound::443160,443160,unique
compound::(+)-delta-Cadinene,compound::441005,441005,unique
compound::(+)-gamma-Gurjunene,compound::15560285,15560285,unique
compound::(+)-gamma-cadinene,compound::6432404,6432404,unique
compound::(+)-isodihydrocarvone,compound::443167,443167,unique
compound::(+)-trans-Limonene oxide,compound::449290,449290,unique
compound::(-)-Borneol,compound::1201518,1201518,unique
compound::(-)-Carvone,compound::439570,439570,unique
compound::(-)-Epicatechin,compound::72276,72276,unique
compound::(-)-Epicatechin gallate,compound::107905,107905,unique
compound::(-)-Epigallocatechin,compound::72277,72277,unique
compound::(-)-Epigallocatechin gallate,compound::65064,65064,unique
compound::(-)-Germacrene D,compound::5317570,5317570,unique
compound::(-)-Limonene,compound::439250,439250,unique
compound::(-)-Linalool,compound::443158,443158,unique
compound::(-)-Mintlactone,compound::642875,642875,unique
compound::(-)-Zingiberene,compound::521253,521253,unique
compound::(-)-alpha-Copaene,compound::76319594,76319594,unique
compound::(-)-alpha-Himachalene,compound::11830551,11830551,unique
compound::(-)-alpha-Pinene,compound::440968,440968,unique
compound::(-)-alpha-Terpineol,compound::443162,443162,unique
compound::(-)-beta-Pinene,compound::440967,440967,unique
compound::(-)-cis-Carveol,compound::330573,330573,unique
compound::(-)-gamma-cadinene,compound::92313,92313,unique
"compound::(10E,12Z)-octadeca-10,12-dienoic acid",compound::5282800,5282800,unique
"compound::(1R,6S)-gamma-himachalene",compound::6428535,6428535,unique
"compound::(1Z,4Z)-germacrene B",compound::6370843,6370843,unique
"compound::(1aR,4S,4aS,7R,7aS)-1,1,4,7-tetramethyl-2,3,4a,5,6,7,7a,7b-octahydro-1aH-cyclopropa[e]azulen-4-ol",compound::94174,94174,unique
"compound::(1r,4r)-4-isopropyl-1-methylcyclohex-2-en-1-ol",compound::122485,122485,unique
"compound::(2,2-Dimethoxyethyl)benzene",compound::60995,60995,unique
compound::(2-Methoxyethyl)benzene,compound::19089,19089,unique
"compound::(2E,4E)-Dodeca-2,4-dienal",compound::5367530,5367530,unique
"compound::(2E,4E)-Octa-2,4-dienal",compound::5283329,5283329,unique
"compound::(2E,4E)-Undeca-2,4-dienal",compound::5367531,5367531,unique
"compound::(2E,4E)-deca-2,4-dienal",compound::5283349,5283349,unique
compound::(2R)-2-isothiocyanatobutane,compound::5399110,5399110,unique
"compound::(2Z,4E)-nona-2,4-dienal",compound::6428555,6428555,unique
"compound::(4R,4aR)-1,1,4,7-tetramethyl-1a,2,3,4,4a,5,6,7b-octahydrocyclopropa[e]azulene",compound::92116,92116,unique
"compound::(5xi,7xi,10xi)-eudesma-4(14),11-diene",compound::519361,519361,unique
compound::(E)-.beta.-Farnesene,compound::10407,10407,unique
compound::(E)-2-Hexenyl hexanoate,compound::5352973,5352973,unique
compound::(E)-Hept-2-enal,compound::5283316,5283316,unique
compound::(E)-gamma-Bisabolene,compound::5352437,5352437,unique
compound::(E)-hex-2-enoate,compound::6997366,6997366,unique
"compound::(E,E)-2,4-Decadienoic isobutylamide",compound::11368078,11368078,unique
compound::(Ethoxymethyl)benzene,compound::10873,10873,unique
compound::(R)-(-)-alpha-Phellandrene,compound::442482,442482,unique
compound::(R)-beta-himachalene,compound::11586487,11586487,unique
compound::(RS)-norcoclaurinium,compound::44229138,44229138,unique
compound::(Z)-4-Dodecenal,compound::6430180,6430180,unique
compound::(Z)-4-Hydroxy-6-dodecenoic acid lactone,compound::5352428,5352428,unique
compound::(Z)-7-Hexadecenal,compound::5364438,5364438,unique
compound::(Z)-8-Tetradecenal,compound::6430188,6430188,unique
compound::(Z)-Beta-Ocimene,compound::5320250,5320250,unique
compound::(Z)-Cinnamyl acetate,compound::5315912,5315912,unique
compound::(Z)-Ethyl cinnamate,compound::5284656,5284656,unique
compound::(Z)-Hept-2-enal,compound::5362616,5362616,unique
compound::(Z)-Hex-3-en-1-ol,compound::5281167,5281167,unique
compound::(Z)-Hex-4-enal,compound::11094547,11094547,unique
compound::(Z)-cinnamyl alcohol,compound::5280511,5280511,unique
"compound::(Z,z)-3,6-nonadien-1-ol",compound::6434541,6434541,unique
compound::(r)-(+)-dihydro-alpha-ionone,compound::12858404,12858404,unique
compound::.alpha.-Calacorene,compound::528708,528708,unique
compound::.alpha.-Cubebene,compound::86609,86609,unique
compound::.beta.-Bourbonene,compound::324224,324224,unique
compound::.beta.-Sesquiphellandrene,compound::519764,519764,unique
"compound::1,1,6-Trimethyl-1,2-dihydronaphthalene",compound::121677,121677,unique
"compound::1,1-Diethoxy-3-Methylbutane",compound::19695,19695,unique
"compound::1,1-Dimethoxyethane",compound::10795,10795,unique
"compound::1,2,3,5,6-Pentathiepane",compound::67521,67521,unique
"compound::1,2,4-Trimethylbenzene",compound::7247,7247,unique
"compound::1,2-Dimethoxybenzene",compound::7043,7043,unique
"compound::1,2-Dithiolane",compound::79045,79045,unique
"compound::1,2-Ethanedithiol",compound::10902,10902,unique
"compound::1,2-propanediol",compound::1030,1030,unique
"compound::1,3,5-Undecatriene",compound::5367412,5367412,unique
"compound::1,3-Butadiene",compound::7845,7845,unique
"compound::1,3-Butanediol",compound::7896,7896,unique
"compound::1,3-Dichlorobenzene",compound::10943,10943,unique
"compound::1,3-Dimethoxybenzene",compound::9025,9025,unique
